hour, t(sec), V1, VAngle1, I1, IAngle1
0, 0.00000, 14547.1, -122.895, 1.53997, -148.287
0, 0.00000, 0.00172925, -63.323, 9.31089E-008, 162.798
0, 0.00000, 3.93201E-005, 22.9875, 7.28295E-009, -100.822
0, 0.00000, 8.05217E-007, 92.4693, 1.82558E-010, -12.2969
0, 0.00000, 1.05878E-008, 123.63, 3.2769E-012, 29.5225
0, 0.00000, 8.77096E-011, 108.377, 3.05603E-014, 61.703
0, 0.00000, 2.33761E-012, -30.3188, 4.88818E-016, 57.4643
0, 0.00000, 1.5907E-013, -128.457, 1.87305E-017, -40.2624
0, 0.00000, 7.13544E-015, 152.221, 8.19077E-019, -123.519
0, 0.00000, 1.45068E-015, 139.676, 1.47844E-019, -132.693
0, 0.00000, 5.17459E-016, 34.2595, 5.30634E-020, 122.934
0, 0.00000, 1.40734E-016, -89.9827, 1.43015E-020, -0.832281
0, 0.00000, 3.47177E-017, 136.224, 3.49655E-021, -133.179
