hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 14993.9, -3.25992, 14925.9, -124.42, 14964.2, 116.043, 9.89767, 79.0424, 9.65241, -47.1039, 9.89298, -161.735
0, 0.00000, 0.00291376, -59.2777, 0.00297897, -65.243, 0.00202031, -73.9525, 6.32714E-006, 31.4662, 6.48184E-006, 25.571, 4.4092E-006, 14.352
0, 0.00000, 2.73698E-005, 15.2971, 6.98025E-005, 18.8265, 8.99093E-005, -69.6791, 9.67752E-008, 102.959, 2.40977E-007, 109.447, 3.23564E-007, 22.0633
0, 0.00000, 7.00539E-007, 177.411, 1.41265E-006, 90.4927, 2.04849E-006, -39.3174, 3.23106E-009, -91.224, 6.47477E-009, -179.201, 9.78597E-009, 52.2895
0, 0.00000, 1.41577E-008, -151.258, 1.94967E-008, 124.006, 2.50147E-008, -14.5153, 8.48945E-011, -60.9029, 1.14375E-010, -145.559, 1.50918E-010, 76.3091
0, 0.00000, 1.11244E-010, -149.223, 1.69118E-010, 101.838, 1.47552E-010, -41.3111, 8.12145E-013, -61.6407, 1.28225E-012, -172.723, 1.10609E-012, 42.8644
0, 0.00000, 1.75903E-012, 17.599, 7.52601E-012, -40.0332, 8.89722E-012, 150.333, 1.75437E-014, 109.292, 7.43029E-014, 50.3212, 8.68838E-014, -119.008
0, 0.00000, 1.86846E-013, -82.5509, 7.45382E-013, -141.959, 8.64772E-013, 49.0264, 2.09232E-015, 7.48456, 8.379E-015, -51.7622, 9.67322E-015, 139.21
0, 0.00000, 1.87961E-014, 161.189, 8.13039E-014, 108.848, 9.41752E-014, -61.8424, 2.39437E-016, -108.93, 1.03675E-015, -161, 1.19602E-015, 28.2991
0, 0.00000, 2.20449E-015, 38.5595, 1.00852E-014, -6.2304, 1.16582E-014, -178.277, 3.15375E-017, 128.303, 1.44093E-016, 83.8859, 1.65945E-016, -88.1695
0, 0.00000, 2.91592E-016, -89.9224, 1.38474E-015, -126.423, 1.59454E-015, 60.4309, 4.64192E-018, -0.319707, 2.19527E-017, -36.3489, 2.51828E-017, 150.511
0, 0.00000, 4.24602E-017, 135.344, 2.06573E-016, 108.804, 2.36523E-016, -65.1084, 7.46648E-019, -135.195, 3.60491E-018, -161.178, 4.11053E-018, 24.9595
0, 0.00000, 6.50292E-018, -6.89611, 3.29807E-017, -20.1614, 3.75814E-017, 165.647, 1.25559E-019, 82.4162, 6.29239E-019, 69.7699, 7.13979E-019, -104.271
