hour, t(sec), V1, VAngle1, I1, IAngle1
0, 0.00000, 15030.3, -3.12045, 0.0679449, -14.8239
0, 0.00000, 0.00279353, -58.7995, 7.89659E-009, 102.471
0, 0.00000, 2.53891E-005, 17.3354, 4.54941E-010, -117.173
0, 0.00000, 6.6676E-007, 178.28, 3.32247E-012, -72.3643
0, 0.00000, 1.29662E-008, -149.99, 5.07777E-014, 118.004
0, 0.00000, 1.01832E-010, -144.621, 1.17541E-015, 164.28
0, 0.00000, 9.71763E-013, 29.9548, 3.68541E-017, 134.682
0, 0.00000, 9.66019E-014, -62.3574, 2.22878E-018, 28.596
0, 0.00000, 7.30409E-015, -164.166, 1.86661E-019, -74.2201
0, 0.00000, 6.38628E-016, 102.441, 1.76711E-020, -167.622
0, 0.00000, 9.04052E-017, 17.5747, 2.69439E-021, 107.537
0, 0.00000, 2.00179E-017, -88.395, 6.41224E-022, 1.69065
0, 0.00000, 4.58578E-018, 143.256, 1.57268E-022, -126.433
