Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 14993.9, -3.18801, 14931.7, -124.344, 14964.1, 116.125, 14.9028, 34.9357, 16.3988, -95.2987, 15.2385, 151.297
180, 3.00000, 142.114, 30.1405, 150.176, -74.0234, 147.401, 158.305, 0.479894, 111.375, 0.499311, 4.84967, 0.493899, -121.162
300, 5.00000, 281.194, -13.02, 363.042, -132.464, 329.997, 97.5036, 1.67741, 72.2971, 2.15297, -48.2085, 1.96692, -177.446
420, 7.00000, 181.252, -63.4926, 193.417, 171.973, 176.726, 51.9829, 1.55986, 23.0272, 1.66045, -102.037, 1.52354, 138.325
540, 9.00000, 111.43, -76.477, 113.854, 160.7, 109.637, 41.587, 1.26571, 10.4926, 1.2929, -112.453, 1.25037, 128.437
660, 11.00000, 79.5187, -80.8763, 80.3175, 156.962, 78.8537, 37.8913, 1.13581, 6.22013, 1.14919, -115.659, 1.13396, 124.917
780, 13.00000, 61.2435, -82.7859, 61.5677, 155.158, 60.943, 36.2138, 1.06852, 4.24643, 1.07834, -117.072, 1.07421, 123.222
900, 15.00000, 49.1506, -83.6518, 49.2719, 154.063, 48.9401, 35.3986, 1.02881, 3.17266, 1.03796, -117.838, 1.03952, 122.245
1020, 17.00000, 40.3758, -83.9432, 40.378, 153.277, 40.1389, 35.0596, 1.00317, 2.54318, 1.01274, -118.31, 1.01777, 121.608
1140, 19.00000, 33.5931, -83.8307, 33.5056, 152.63, 33.2694, 35.055, 0.985549, 2.18327, 0.995959, -118.627, 1.00347, 121.153
1260, 21.00000, 28.1044, -83.3621, 27.9377, 152.029, 27.6537, 35.3545, 0.973124, 2.02917, 0.984219, -118.849, 0.993845, 120.801
1380, 23.00000, 23.5069, -82.518, 23.2666, 151.393, 22.8968, 36.0161, 0.965024, 2.06928, 0.975574, -118.997, 0.987358, 120.506
1500, 25.00000, 19.5495, -81.2377, 19.2449, 150.586, 18.7661, 37.2157, 0.962411, 2.2776, 0.968845, -119.058, 0.982986, 120.235
