Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14921.4, -124.342, 1.02372, -147.908
180, 3.00000, 152.532, -73.7964, 0.00742735, -89.4513
300, 5.00000, 363.024, -131.906, 0.0144332, -128.895
420, 7.00000, 188.788, 172.73, 0.00751351, -165.902
540, 9.00000, 107.324, 161.616, 0.00470974, -163.199
660, 11.00000, 72.1912, 158.008, 0.00359414, -157.041
780, 13.00000, 51.9011, 156.299, 0.0029354, -151.76
900, 15.00000, 38.0803, 155.25, 0.00242877, -147.642
1020, 17.00000, 27.6658, 154.426, 0.00197141, -144.518
1140, 19.00000, 19.2731, 153.564, 0.00152048, -142.274
1260, 21.00000, 12.1848, 152.276, 0.00105552, -141.059
1380, 23.00000, 5.99987, 149.005, 0.000566566, -142.271
1500, 25.00000, 0.786247, 95.9567, 8.04198E-005, 166.403
