Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 14890.2, -124.416, 1.02605, -147.995
60, 1.00000, 14890.2, -124.416, 1.02605, -147.995
60, 1.00000, 14890.2, -124.416, 1.02605, -147.995
180, 3.00000, 17.8033, -72.4914, 0.000866908, -88.1463
180, 3.00000, 17.8033, -72.4914, 0.000866908, -88.1463
60, 1.00000, 14890.2, -124.416, 0.000866908, -88.1463
300, 5.00000, 26.7909, -131.092, 0.00106516, -128.081
300, 5.00000, 26.7909, -131.092, 0.00106516, -128.081
60, 1.00000, 14890.2, -124.416, 0.00106516, -128.081
420, 7.00000, 10.3444, 172.537, 0.000411696, -166.095
420, 7.00000, 10.3444, 172.537, 0.000411696, -166.095
60, 1.00000, 14890.2, -124.416, 0.000411696, -166.095
540, 9.00000, 4.96509, 160.405, 0.000217884, -164.41
540, 9.00000, 4.96509, 160.405, 0.000217884, -164.41
60, 1.00000, 14890.2, -124.416, 0.000217884, -164.41
660, 11.00000, 2.98937, 155.899, 0.00014883, -159.15
660, 11.00000, 2.98937, 155.899, 0.00014883, -159.15
60, 1.00000, 14890.2, -124.416, 0.00014883, -159.15
780, 13.00000, 1.87329, 153.357, 0.000105949, -154.702
780, 13.00000, 1.87329, 153.357, 0.000105949, -154.702
60, 1.00000, 14890.2, -124.416, 0.000105949, -154.702
900, 15.00000, 0, 0, 0, 0
900, 15.00000, 0, 0, 0, 0
60, 1.00000, 14890.2, -124.416, 0, 0
1020, 17.00000, 0, 0, 0, 0
1020, 17.00000, 0, 0, 0, 0
60, 1.00000, 14890.2, -124.416, 0, 0
1140, 19.00000, 0, 0, 0, 0
1140, 19.00000, 0, 0, 0, 0
60, 1.00000, 14890.2, -124.416, 0, 0
1260, 21.00000, 0, 0, 0, 0
1260, 21.00000, 0, 0, 0, 0
60, 1.00000, 14890.2, -124.416, 0, 0
1380, 23.00000, 0, 0, 0, 0
1380, 23.00000, 0, 0, 0, 0
60, 1.00000, 14890.2, -124.416, 0, 0
1500, 25.00000, 0, 0, 0, 0
1500, 25.00000, 0, 0, 0, 0
