hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 0.00000, 2428.95, -4.56907, 2419.31, -125.685, 2424.16, 114.848, 69.9218, -32.2292, 70.0273, -152.691, 69.4846, 87.4659
0, 0.00000, 4.64152E-007, 14.5074, 2.10162E-007, -30.6864, 2.23388E-007, 144.089, 3.55115E-008, 160.397, 2.14034E-008, 60.7853, 3.82769E-008, -53.0565
0, 0.00000, 1.08935E-009, -94.7436, 6.13402E-010, -113.58, 3.43213E-010, 13.2159, 5.69036E-011, 43.3842, 2.88516E-011, -42.0252, 6.58145E-011, -162.518
0, 0.00000, 6.21874E-012, 154.582, 4.69066E-012, 147.096, 1.49766E-012, -166.108, 1.87039E-013, -69.5888, 8.56885E-014, -134.33, 2.3654E-013, 91.3083
0, 0.00000, 7.36601E-014, 33.4752, 6.67045E-014, 29.5881, 3.47245E-014, 29.4623, 1.05205E-015, 179.109, 5.14736E-016, 137.772, 1.47669E-015, -14.1317
0, 0.00000, 1.57768E-015, -107.079, 1.54662E-015, -108.928, 1.15437E-015, -118.895, 9.38801E-018, 66.1622, 5.7008E-018, 42.5569, 1.47778E-017, -122.5
0, 0.00000, 5.29486E-017, 86.8585, 5.28252E-017, 86.7157, 4.81913E-017, 77.4458, 1.27376E-019, -53.7085, 9.81002E-020, -66.7275, 2.25442E-019, 121.098
0, 0.00000, 2.37473E-018, -107.213, 2.34629E-018, -106.495, 2.33215E-018, -112.015, 2.54413E-021, 167.239, 2.39733E-021, 166.151, 5.0573E-021, -13.4138
0, 0.00000, 1.19195E-019, 31.7699, 1.1645E-019, 32.5756, 1.17156E-019, 29.477, 5.83542E-023, -21.7525, 7.95042E-023, 9.63459, 1.36575E-022, 174.215
0, 0.00000, 5.73656E-021, 147.044, 5.57233E-021, 147.875, 5.64371E-021, 144.534, 2.18732E-024, 72.9265, 3.39959E-024, 163.097, 4.14122E-024, -54.1199
0, 0.00000, 2.42227E-022, -117.703, 2.33588E-022, -116.677, 2.45542E-022, -120.159, 1.18077E-025, 177.223, 2.0484E-025, -86.7265, 2.25862E-025, 58.0186
0, 0.00000, 8.76971E-024, -38.4108, 8.38001E-024, -37.4429, 8.96729E-024, -39.2091, 2.83153E-027, -93.0572, 1.14307E-026, 14.203, 1.0575E-026, 177.37
0, 0.00000, 2.69735E-025, 29.7121, 2.5776E-025, 30.6947, 2.69223E-025, 27.9648, 1.02465E-028, -65.7146, 3.93274E-028, 98.3246, 2.7907E-028, -88.8943
0, 0.00000, 6.7873E-027, 88.8989, 6.40257E-027, 91.1588, 7.38499E-027, 84.7093, 3.55894E-030, 33.4193, 1.32929E-029, 146.862, 1.19607E-029, -50.3409
0, 0.00000, 1.47351E-028, 135.76, 1.28163E-028, 135.205, 1.74855E-028, 146.532, 1.1173E-031, -86.592, 5.97651E-031, -134.212, 6.65801E-031, 52.8288
0, 0.00000, 3.55097E-030, -177.76, 3.76938E-030, 170.322, 1.55576E-030, -131.306, 1.39869E-032, 57.7116, 2.0301E-032, 12.331, 3.18267E-032, -149.004
0, 0.00000, 7.69975E-032, -94.8142, 1.4273E-031, -108.091, 1.25044E-031, 114.936, 1.02507E-033, -166.888, 1.92394E-033, 163.008, 2.86018E-033, -6.68473
0, 0.00000, 2.66175E-033, 49.104, 7.02282E-033, 3.9933, 9.89221E-033, -150.467, 7.31176E-035, -43.4724, 1.58725E-034, -85.9326, 2.18268E-034, 107.113
0, 0.00000, 1.79804E-034, 160.582, 4.25823E-034, 102.843, 5.48078E-034, -57.6271, 4.69276E-036, 65.2167, 1.06973E-035, 11.1376, 1.39747E-035, -153.091
0, 0.00000, 9.56287E-036, -107.598, 2.30287E-035, -173.307, 2.69284E-035, 27.7278, 2.63829E-037, 162.504, 6.213E-037, 96.8856, 7.68676E-037, -64.9041
0, 0.00000, 4.35802E-037, -23.7104, 1.07647E-036, -99.0997, 1.16513E-036, 104.203, 1.30499E-038, -109.566, 3.11236E-038, 172.796, 3.62321E-038, 13.3878
0, 0.00000, 1.76297E-038, 53.1633, 4.38015E-038, -32.5445, 4.38599E-038, 172.976, 5.71002E-040, -29.7558, 1.345E-039, -119.511, 1.46341E-039, 83.4479
0, 0.00000, 6.36358E-040, 123.583, 1.55802E-039, 27.5777, 1.43504E-039, -124.626, 2.21826E-041, 42.805, 5.03332E-041, -58.6544, 5.08125E-041, 146.67
0, 0.00000, 2.05402E-041, -171.793, 4.86503E-041, 82.2674, 4.09277E-041, -67.5081, 7.6651E-043, 108.818, 1.63952E-042, -3.51954, 1.52321E-042, -155.8
0, 0.00000, 5.94151E-043, -112.366, 1.34104E-042, 132.355, 1.02155E-042, -14.7551, 2.38221E-044, 168.934, 4.62428E-044, 46.8024, 3.92364E-044, -102.99
0, 0.00000, 1.54143E-044, -57.6011, 3.22299E-044, 178.518, 2.24208E-044, 34.4202, 0, -136.205, 1.4013E-045, 93.0692, 1.4013E-045, -54.0481
0, 0.00000, 0, -7.0096, 1.4013E-045, -138.696, 0, 80.7432, 0, -85.9552, 0, 135.912, 0, -8.22859
0, 0.00000, 0, 39.8389, 0, -98.8293, 0, 124.962, 0, -39.6739, 0, 175.823, 0, 35.0988
0, 0.00000, 0, 83.3278, 0, -61.4907, 0, 167.893, 0, 3.20589, 0, -146.839, 0, 76.6153
0, 0.00000, 0, 123.868, 0, -26.3894, 0, -149.632, 0, 43.0186, 0, -111.679, 0, 117.523
0, 0.00000, 0, 161.838, 0, 6.64863, 0, -105.918, 0, 80.0648, 0, -78.2114, 0, 158.132
0, 0.00000, 0, -163.036, 0, 38.3415, 0, -58.0782, 0, 115.779, 0, -47.4382, 0, -164.947
0, 0.00000, 0, -130.364, 0, 69.2953, 0, -22.5411, 0, 149.577, 0, -20.1957, 0, -83.5072
0, 0.00000, 0, -89.1527, 0, 87.3209, 0, 147.789, 0, 164.699, 0, 36.2116, 0, -65.809
0, 0.00000, 0, -69.1154, 0, -24.8595, 0, 115.749, 0, 11.9732, 0, 41.3344, 0, -142.807
0, 0.00000, 0, -138.625, 0, -140.022, 0, 41.6495, 0, -61.4598, 0, -36.903, 0, 132.943
0, 0.00000, 0, 129.673, 0, 143.533, 0, -41.9765, 0, -135.832, 0, -123.923, 0, 51.3465
0, 0.00000, 0, 48.6467, 0, 58.7023, 0, -125.274, 0, 141.795, 0, 151.745, 0, -32.0888
0, 0.00000, 0, -34.4585, 0, -26.8671, 0, 150.19, 0, 58.4224, 0, 66.1897, 0, -116.756
0, 0.00000, 0, -119.096, 0, -113.414, 0, 64.4084, 0, -26.2461, 0, -20.4592, 0, 157.382
0, 0.00000, 0, 154.938, 0, 158.967, 0, -22.5642, 0, -112.273, 0, -108.159, 0, 70.3298
0, 0.00000, 0, 67.6591, 0, 70.2867, 0, -110.71, 0, 160.39, 0, 163.084, 0, -17.8908
0, 0.00000, 0, -20.8975, 0, -19.4522, 0, 159.99, 0, 71.7769, 0, 73.274, 0, -107.26
0, 0.00000, 0, -110.699, 0, -110.244, 0, 69.5576, 0, -18.0791, 0, -17.5848, 0, 162.24
0, 0.00000, 0, 158.286, 0, 157.918, 0, -21.989, 0, -109.147, 0, -109.485, 0, 70.6313
0, 0.00000, 0, 66.088, 0, 65.0447, 0, -114.63, 0, 158.605, 0, 157.581, 0, -22.0688
0, 0.00000, 0, -27.2636, 0, -28.855, 0, 151.655, 0, 65.2042, 0, 63.6254, 0, -115.841
0, 0.00000, 0, -121.741, 0, -123.769, 0, 56.8839, 0, -29.3204, 0, -31.3422, 0, 149.334
0, 0.00000, 0, 142.683, 0, 140.314, 0, -38.9241, 0, -124.942, 0, -127.309, 0, 53.4751
0, 0.00000, 0, 46.0349, 0, 43.4088, 0, -135.75, 0, 138.365, 0, 135.737, 0, -43.4002
0, 0.00000, 0, -51.6609, 0, -54.4724, 0, 126.423, 0, 40.6269, 0, 37.8096, 0, -141.273
0, 0.00000, 0, -150.38, 0, -153.315, 0, 27.6147, 0, -58.1334, 0, -61.0773, 0, 119.873
0, 0.00000, 0, 109.901, 0, 106.894, 0, -72.1581, 0, -157.892, 0, -160.91, 0, 20.0574
0, 0.00000, 0, 9.20441, 0, 6.17077, 0, -172.878, 0, 101.372, 0, 98.3266, 0, -80.7037
0, 0.00000, 0, -92.448, 0, -95.4712, 0, 85.4724, 0, -0.317182, 0, -3.35384, 0, 177.607
0, 0.00000, 0, 164.965, 0, 161.983, 0, -17.0903, 0, -102.941, 0, -105.937, 0, 75.0059
0, 0.00000, 0, 61.4626, 0, 58.5478, 0, -120.55, 0, 153.523, 0, 150.593, 0, -28.4902
0, 0.00000, 0, -42.9349, 0, -45.7619, 0, 135.11, 0, 49.0914, 0, 46.249, 0, -132.865
0, 0.00000, 0, -148.209, 0, -150.932, 0, 29.9061, 0, -56.2151, 0, -58.9536, 0, 121.896
0, 0.00000, 0, 105.658, 0, 103.053, 0, -76.1473, 0, -162.379, 0, -165.001, 0, 15.8095
0, 0.00000, 0, -1.31519, 0, -3.79437, 0, 176.966, 0, 90.6171, 0, 88.122, 0, -91.1095
0, 0.00000, 0, -109.113, 0, -111.459, 0, 69.2597, 0, -17.2097, 0, -19.5714, 0, 161.154
0, 0.00000, 0, 142.282, 0, 140.074, 0, -39.2504, 0, -125.843, 0, -128.067, 0, 52.6138
0, 0.00000, 0, 32.884, 0, 30.8166, 0, -148.55, 0, 124.732, 0, 122.649, 0, -56.715
0, 0.00000, 0, -77.2903, 0, -79.2165, 0, 101.374, 0, 14.532, 0, 12.5893, 0, -166.819
0, 0.00000, 0, 171.774, 0, 169.988, 0, -9.46318, 0, -96.4291, 0, -98.2316, 0, 82.3167
0, 0.00000, 0, 60.0897, 0, 58.4427, 0, -121.049, 0, 151.863, 0, 150.199, 0, -29.2956
0, 0.00000, 0, -52.3278, 0, -53.8389, 0, 126.63, 0, 39.4229, 0, 37.894, 0, -141.642
0, 0.00000, 0, -165.466, 0, -166.844, 0, 13.5863, 0, -73.7367, 0, -75.134, 0, 105.289
0, 0.00000, 0, 80.6895, 0, 79.439, 0, -100.167, 0, 172.398, 0, 171.128, 0, -8.48835
0, 0.00000, 0, -33.8499, 0, -34.9768, 0, 145.383, 0, 57.8386, 0, 56.6908, 0, -122.962
0, 0.00000, 0, -149.072, 0, -150.08, 0, 30.2472, 0, -57.4016, 0, -58.4322, 0, 121.879
0, 0.00000, 0, 95.0366, 0, 94.1423, 0, -85.5617, 0, -173.311, 0, -174.23, 0, 6.04734
0, 0.00000, 0, -21.5138, 0, -22.2995, 0, 157.968, 0, 70.1226, 0, 69.3099, 0, -110.445
0, 0.00000, 0, -138.711, 0, -139.394, 0, 40.8467, 0, -47.0901, 0, -47.8021, 0, 132.412
0, 0.00000, 0, 103.455, 0, 102.871, 0, -76.9135, 0, -164.938, 0, -165.555, 0, 14.6307
0, 0.00000, 0, -15.0048, 0, -15.4954, 0, 164.698, 0, 76.5906, 0, 76.063, 0, -103.779
0, 0.00000, 0, -134.08, 0, -134.481, 0, 45.6917, 0, -42.4949, 0, -42.9382, 0, 137.195
0, 0.00000, 0, 106.241, 0, 105.923, 0, -73.9219, 0, -162.184, 0, -162.548, 0, 17.5608
0, 0.00000, 0, -14.0342, 0, -14.2714, 0, 165.867, 0, 77.534, 0, 77.2435, 0, -102.67
0, 0.00000, 0, -134.895, 0, -135.055, 0, 45.0694, 0, -43.3321, 0, -43.5532, 0, 136.512
0, 0.00000, 0, 103.668, 0, 103.581, 0, -76.306, 0, -164.772, 0, -164.929, 0, 15.1174
0, 0.00000, 0, -18.3365, 0, -18.353, 0, 161.751, 0, 73.2225, 0, 73.127, 0, -106.845
0, 0.00000, 0, -140.9, 0, -140.848, 0, 39.249, 0, -49.3385, 0, -49.3771, 0, 130.633
0, 0.00000, 0, 95.987, 0, 96.1059, 0, -83.8022, 0, -172.447, 0, -172.432, 0, 7.56254
0, 0.00000, 0, -27.6683, 0, -27.4834, 0, 152.606, 0, 63.9068, 0, 63.9722, 0, -116.049
0, 0.00000, 0, -151.857, 0, -151.607, 0, 28.4829, 0, -60.2697, 0, -60.1567, 0, 119.808
0, 0.00000, 0, 83.4273, 0, 83.744, 0, -96.1635, 0, 175.032, 0, 175.19, 0, -4.85868
0, 0.00000, 0, -41.8065, 0, -41.4225, 0, 138.675, 0, 49.8203, 0, 50.0216, 0, -130.04
0, 0.00000, 0, -167.551, 0, -167.098, 0, 13.0078, 0, -75.8972, 0, -75.6545, 0, 104.271
0, 0.00000, 0, 66.2009, 0, 66.7247, 0, -113.158, 0, 157.888, 0, 158.17, 0, -21.9165
0, 0.00000, 0, -60.5429, 0, -59.9455, 0, 120.185, 0, 31.1822, 0, 31.5028, 0, -148.595
0, 0.00000, 0, 172.225, 0, 172.899, 0, -6.955, 0, -96.0056, 0, -95.6482, 0, 84.243
0, 0.00000, 0, 44.5145, 0, 45.2658, 0, -134.571, 0, 136.332, 0, 136.725, 0, -43.3947
0, 0.00000, 0, -83.6665, 0, -82.8367, 0, 97.3451, 0, 8.20241, 0, 8.62854, 0, -171.501
0, 0.00000, 0, 147.693, 0, 148.599, 0, -31.201, 0, -120.386, 0, -119.929, 0, 59.9323
0, 0.00000, 0, 18.6035, 0, 19.5823, 0, -160.202, 0, 110.573, 0, 111.058, 0, -69.0885
